"001","002","003"
"0","0","0"
"0","4","0"
"0","8","0"
"0","12","0"
"0","16","0"
"0","20","0"
"0","24","0"
"0","28","0"
"0","32","0"
"0","36","0"
"0","40","0"
"0","44","0"
"0","48","0"
"0","52","0"
"0","56","0"
"0","60","0"
"0","64","0"
"0","68","0"
"0","72","0"
"0","76","0"
"0","80","0"
"0","84","0"
"0","88","0"
"0","92","0"
"4","0","0"
"4","4","0"
"4","8","0"
"4","12","0"
"4","16","0"
"4","20","0"
"4","24","0"
"4","28","0"
"4","32","0"
"4","36","0"
"4","40","0"
"4","44","0"
"4","48","0"
"4","52","0"
"4","56","0"
"4","60","0"
"4","64","0"
"4","68","0"
"4","72","0"
"4","76","0"
"4","80","0"
"4","84","0"
"4","88","0"
"4","92","0"
"8","0","0"
"8","4","0"
"8","8","0"
"8","12","0"
"8","16","0"
"8","20","0"
"8","24","0"
"8","28","0"
"8","32","0"
"8","36","0"
"8","40","0"
"8","44","0"
"8","48","0"
"8","52","0"
"8","56","0"
"8","60","0"
"8","64","0"
"8","68","0"
"8","72","0"
"8","76","0"
"8","80","0"
"8","84","0"
"8","88","0"
"8","92","0"
"12","0","0"
"12","4","0"
"12","8","0"
"12","12","0"
"12","16","0"
"12","20","0"
"12","24","0"
"12","28","0"
"12","32","0"
"12","36","0"
"12","40","0"
"12","44","0"
"12","48","0"
"12","52","0"
"12","56","0"
"12","60","0"
"12","64","0"
"12","68","0"
"12","72","0"
"12","76","0"
"12","80","0"
"12","84","0"
"12","88","0"
"12","92","0"
"16","0","0"
"16","4","0"
"16","8","0"
"16","12","0"
"16","16","0"
"16","20","0"
"16","24","0"
"16","28","0"
"16","32","0"
"16","36","0"
"16","40","0"
"16","44","0"
"16","48","0"
"16","52","0"
"16","56","0"
"16","60","0"
"16","64","0"
"16","68","0"
"16","72","0"
"16","76","0"
"16","80","0"
"16","84","0"
"16","88","0"
"16","92","0"
"20","0","0"
"20","4","0"
"20","8","0"
"20","12","0"
"20","16","0"
"20","20","0"
"20","24","0"
"20","28","0"
"20","32","0"
"20","36","0"
"20","40","0"
"20","44","0"
"20","48","0"
"20","52","0"
"20","56","0"
"20","60","0"
"20","64","0"
"20","68","0"
"20","72","0"
"20","76","0"
"20","80","0"
"20","84","0"
"20","88","0"
"20","92","0"
"24","0","0"
"24","4","0"
"24","8","0"
"24","12","0"
"24","16","0"
"24","20","0"
"24","24","0"
"24","28","0"
"24","32","0"
"24","36","0"
"24","40","0"
"24","44","0"
"24","48","0"
"24","52","0"
"24","56","0"
"24","60","0"
"24","64","0"
"24","68","0"
"24","72","0"
"24","76","0"
"24","80","0"
"24","84","0"
"24","88","0"
"24","92","0"
"28","0","0"
"28","4","0"
"28","8","0"
"28","12","0"
"28","16","0"
"28","20","0"
"28","24","0"
"28","28","0"
"28","32","0"
"28","36","0"
"28","40","0"
"28","44","0"
"28","48","0"
"28","52","0"
