"001","002","003"
"0","0","0"
"0","3","0"
"0","6","0"
"0","9","0"
"0","12","0"
"0","15","0"
"0","18","0"
"0","21","0"
"0","24","0"
"0","27","0"
"0","30","0"
"0","33","0"
"0","36","0"
"0","39","0"
"0","42","0"
"0","45","0"
"0","48","0"
"0","51","0"
"0","54","0"
"0","57","0"
"0","60","0"
"0","63","0"
"0","66","0"
"0","69","0"
"3","0","0"
"3","3","0"
"3","6","0"
"3","9","0"
"3","12","0"
"3","15","0"
"3","18","0"
"3","21","0"
"3","24","0"
"3","27","0"
"3","30","0"
"3","33","0"
"3","36","0"
"3","39","0"
"3","42","0"
"3","45","0"
"3","48","0"
"3","51","0"
"3","54","0"
"3","57","0"
"3","60","0"
"3","63","0"
"3","66","0"
"3","69","0"
"6","0","0"
"6","3","0"
"6","6","0"
"6","9","0"
"6","12","0"
"6","15","0"
"6","18","0"
"6","21","0"
"6","24","0"
"6","27","0"
"6","30","0"
"6","33","0"
"6","36","0"
"6","39","0"
"6","42","0"
"6","45","0"
"6","48","0"
"6","51","0"
"6","54","0"
"6","57","0"
"6","60","0"
"6","63","0"
"6","66","0"
"6","69","0"
"9","0","0"
"9","3","0"
"9","6","0"
"9","9","0"
"9","12","0"
"9","15","0"
"9","18","0"
"9","21","0"
"9","24","0"
"9","27","0"
"9","30","0"
"9","33","0"
"9","36","0"
"9","39","0"
"9","42","0"
"9","45","0"
"9","48","0"
"9","51","0"
"9","54","0"
"9","57","0"
"9","60","0"
"9","63","0"
"9","66","0"
"9","69","0"
"12","0","0"
"12","3","0"
"12","6","0"
"12","9","0"
"12","12","0"
"12","15","0"
"12","18","0"
"12","21","0"
"12","24","0"
"12","27","0"
"12","30","0"
"12","33","0"
"12","36","0"
"12","39","0"
"12","42","0"
"12","45","0"
"12","48","0"
"12","51","0"
"12","54","0"
"12","57","0"
"12","60","0"
"12","63","0"
"12","66","0"
"12","69","0"
"15","0","0"
"15","3","0"
"15","6","0"
"15","9","0"
"15","12","0"
"15","15","0"
"15","18","0"
"15","21","0"
"15","24","0"
"15","27","0"
"15","30","0"
"15","33","0"
"15","36","0"
"15","39","0"
"15","42","0"
"15","45","0"
"15","48","0"
"15","51","0"
"15","54","0"
"15","57","0"
"15","60","0"
"15","63","0"
"15","66","0"
"15","69","0"
"18","0","0"
"18","3","0"
"18","6","0"
"18","9","0"
"18","12","0"
"18","15","0"
"18","18","0"
"18","21","0"
"18","24","0"
"18","27","0"
"18","30","0"
"18","33","0"
"18","36","0"
"18","39","0"
"18","42","0"
"18","45","0"
"18","48","0"
"18","51","0"
"18","54","0"
"18","57","0"
"18","60","0"
"18","63","0"
"18","66","0"
"18","69","0"
"21","0","0"
"21","3","0"
"21","6","0"
"21","9","0"
"21","12","0"
"21","15","0"
"21","18","0"
"21","21","0"
"21","24","0"
"21","27","0"
"21","30","0"
"21","33","0"
"21","36","0"
"21","39","0"
"21","42","0"
"21","45","0"
"21","48","0"
"21","51","0"
"21","54","0"
"21","57","0"
"21","60","0"
"21","63","0"
"21","66","0"
"21","69","0"
"24","0","0"
"24","3","0"
"24","6","0"
"24","9","0"
"24","12","0"
"24","15","0"
"24","18","0"
"24","21","0"
"24","24","0"
"24","27","0"
"24","30","0"
"24","33","0"
"24","36","0"
"24","39","0"
"24","42","0"
"24","45","0"
"24","48","0"
"24","51","0"
"24","54","0"
"24","57","0"
"24","60","0"
"24","63","0"
"24","66","0"
"24","69","0"
"27","0","0"
"27","3","0"
"27","6","0"
"27","9","0"
"27","12","0"
"27","15","0"
"27","18","0"
"27","21","0"
"27","24","0"
"27","27","0"
"27","30","0"
"27","33","0"
"27","36","0"
"27","39","0"
"27","42","0"
"27","45","0"
"27","48","0"
"27","51","0"
"27","54","0"
"27","57","0"
"27","60","0"
"27","63","0"
"27","66","0"
"27","69","0"
"30","0","0"
"30","3","0"
"30","6","0"
"30","9","0"
"30","12","0"
"30","15","0"
"30","18","0"
"30","21","0"
"30","24","0"
"30","27","0"
"30","30","0"
"30","33","0"
"30","36","0"
"30","39","0"
"30","42","0"
"30","45","0"
"30","48","0"
"30","51","0"
"30","54","0"
"30","57","0"
"30","60","0"
"30","63","0"
"30","66","0"
"30","69","0"
"33","0","0"
"33","3","0"
"33","6","0"
"33","9","0"
"33","12","0"
"33","15","0"
"33","18","0"
"33","21","0"
"33","24","0"
"33","27","0"
"33","30","0"
"33","33","0"
"33","36","0"
"33","39","0"
"33","42","0"
"33","45","0"
"33","48","0"
"33","51","0"
"33","54","0"
"33","57","0"
"33","60","0"
"33","63","0"
"33","66","0"
"33","69","0"
"36","0","0"
"36","3","0"
"36","6","0"
"36","9","0"
"36","12","0"
"36","15","0"
"36","18","0"
"36","21","0"
"36","24","0"
"36","27","0"
"36","30","0"
"36","33","0"
"36","36","0"
"36","39","0"
"36","42","0"
"36","45","0"
"36","48","0"
"36","51","0"
"36","54","0"
"36","57","0"
"36","60","0"
"36","63","0"
"36","66","0"
"36","69","0"
"39","0","0"
"39","3","0"
"39","6","0"
"39","9","0"
"39","12","0"
"39","15","0"
"39","18","0"
"39","21","0"
"39","24","0"
"39","27","0"
"39","30","0"
"39","33","0"
"39","36","0"
"39","39","0"
"39","42","0"
"39","45","0"
"39","48","0"
"39","51","0"
"39","54","0"
"39","57","0"
"39","60","0"
"39","63","0"
"39","66","0"
"39","69","0"
"42","0","0"
"42","3","0"
"42","6","0"
"42","9","0"
"42","12","0"
"42","15","0"
